event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on August 2, 9, 16 & 23

",2014-08-02T19:00:00,2014-08-02T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on August 2, 9, 16 & 23

",2014-08-09T19:00:00,2014-08-09T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on August 2, 9, 16 & 23

",2014-08-16T19:00:00,2014-08-16T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
Movies on the Green at Warner Park,{'url': 'http://www.valleycultural.org'},"Enjoy movies under the stars at Warner Park on a 30-foot screen with digital projection and surround sound. In addition, enjoy affordable food and drinks provided by local organizations. It is the perfect way to enjoy a summer evening under the stars.

This event takes place on August 2, 9, 16 & 23

",2014-08-23T19:00:00,2014-08-23T22:00:00,,Valley Cultural Center,818-888-0822,free,"Culture & Community, Family Friendly, Great Outdoors, Free"
Jazz on the Lawn,{'url': 'http://www.smgov.net/jazz'},"Bring a picnic, blanket, and beach chair, and enjoy great live music at the annual concert series in front of Santa Monica City Hall.

This event takes place on August 3, 10, 17 & 24

",2014-08-10T17:00:00,2014-08-10T19:00:00,,City of Santa Monica Cultural Affairs Division,310-458-8350,free,"Culture & Community, Family Friendly, Free"
Jazz on the Lawn,{'url': 'http://www.smgov.net/jazz'},"Bring a picnic, blanket, and beach chair, and enjoy great live music at the annual concert series in front of Santa Monica City Hall.

This event takes place on August 3, 10, 17 & 24

",2014-08-17T17:00:00,2014-08-17T19:00:00,,City of Santa Monica Cultural Affairs Division,310-458-8350,free,"Culture & Community, Family Friendly, Free"
Jazz on the Lawn,{'url': 'http://www.smgov.net/jazz'},"Bring a picnic, blanket, and beach chair, and enjoy great live music at the annual concert series in front of Santa Monica City Hall.

This event takes place on August 3, 10, 17 & 24

",2014-08-24T17:00:00,2014-08-24T19:00:00,,City of Santa Monica Cultural Affairs Division,310-458-8350,free,"Culture & Community, Family Friendly, Free"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on August 3, 19, 23 & 24

",2014-08-03T17:30:00,2014-08-03T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on August 3, 19, 23 & 24

",2014-08-19T17:30:00,2014-08-19T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on August 3, 19, 23 & 24

",2014-08-23T17:30:00,2014-08-23T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
Cal Phil Festival on the Green,{'url': 'http://www.calphil.org'},"The California Philharmonic hosts its annual Festival on the Green concert series with music, food, and a great location combine into a magical blend unparalleled in Southern California. An engaging maestro, a world-class orchestra, and top soloists ensure enjoyment for all. 

Live jazz, dining, and family activities begin at 5:30 pm, performances start at 7:30 pm.

This event takes place on August 3, 19, 23 & 24

",2014-08-24T17:30:00,2014-08-24T21:30:00,,California Philharmonic,626-300-8200,"$20 - $98
","Culture & Community, Family Friendly, Fairs & Festivals, Great Outdoors"
XXVII Festival Guelaguetza ORO 2014,{'url': 'http://www.guelaguetzaoro.com'},"The Guelaguetza Festival is an annual indigenous cultural event in Oaxaca, Mexico that has also taken place in Los Angeles for the past 27 years. The event centers on traditional dancing and costumes and includes parades with indigenous walking bands, native food, and statewide artisanal crafts. 

This event takes place on August 9 & 10

",2014-08-09T12:00:00,2014-08-09T21:00:00,,Guelaguetza ORO Festival,310-869-4738,free,"Culture & Community, Family Friendly, Fairs & Festivals, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on August 9 & 30

",2014-08-09T15:00:00,2014-08-09T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on August 9 & 30

",2014-08-30T15:00:00,2014-08-30T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Ecuadorian Festival,{'url': 'http://www.lafoodfestivals.com/'},"Since 1998 the Ecuadorian community in Los Angeles has been celebrating their Independence Day. The festival includes Ecuadorian cuisine, Ecuadorian arts and crafts, musical groups, folklore customs, free health screenings, carnival games, and information provided by all type of exhibitors.",2014-08-10T12:00:00,2014-08-10T18:00:00,,El Pueblo Historical Monument,"213-485-8372,",free,"Culture & Community, Family Friendly, Fairs & Festivals, Free"
Robotic by the Sea,{'url': 'http://www.cabrillomarineaquarium.org'},"Bring your entire family and join the crew at Cabrillo Marine Aquarium to learn about underwater robotics. Witness R.O.V. (Remotely Operated Vehicle) demonstrations and much more.

",2013-08-16T11:00:00,2013-08-16T15:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,free,"Family Friendly, Free"
Mud Mania: A Celebration of Adobe,{'url': 'http://www.rancholoscerritos.org'},"This is the muddiest and wackiest event in Southern California! Visit Rancho Los Cerritos and learn about local “adobe” soil and its many uses throughout history.  Guests will make real adobe bricks, plaster a wall with mud, construct a mini-adobe home, compete in mud relay races, and much more.

",2013-08-17T12:30:00,2013-08-17T16:30:00,,Rancho Los Cerritos Historic Site,562-570-1755,"$7 Adults, $5 Children","Culture & Community, Family Friendly, Great Outdoors"
14th Annual Senior Talent Show,{'url': 'http://www.angelusplaza.org'},"Since 1999, this annual event has risen in popularity to become one of the brightest jewels of Angelus Plaza. Categories include dance, vocal, instrumental, comedy, drama, magic, and much more. Gifted performers throughout greater Los Angeles will compete for $1,700 in prizes.

",2014-08-22T14:00:00,2014-08-22T16:00:00,,"Good Samaritan Hospital, Angelus Plaza ",213-623-4352 x317,Free,"Culture & Community, Family Friendly, Free"
"See the Sea, Floating Oceanography Lab",{'url': 'http://www.cabrillomarineaquarium.org'},"Join the Cabrillo Marine Aquarium aboard a specially equipped vessel where you will study near-shore animals collected during the trip. Learn about the fascinating world of plankton, animals that call mud their home, and some of the fish that prefer the sandy bottom. Watch for marine birds, sea lions, and dolphins.

",2014-08-23T08:30:00,2014-08-23T12:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,$28 ,"Family Friendly, Great Outdoors"
Blue Whales and More,{'url': 'http://www.cabrillomarineaquarium.org'},"Join the Cabrillo Marine Aquarium staff on a boat as they search the Catalina Channel for the largest animals in the world. Blue, Fin, and Humpback whales spend part of their summer here to feed on huge amounts of krill. The boat leaves from San Pedro.

",2014-08-24T08:30:00,2014-08-24T12:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,$30 ,"Family Friendly, Great Outdoors"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-08-29T20:00:00,2014-08-29T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
Los Angeles City Birthday Celebration,,"Celebrate the anniversary of the founding of Los Angeles. The event includes a walk from San Gabriel Mission to Los Angeles, historic reenactments, artisan demonstrations, exhibits, food, entertainment, and plenty of birthday cake.",2014-08-30T06:00:00,2014-08-30T13:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Culture & Community, Family Friendly, Holiday Celebration, Free"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-09-04T17:00:00,2014-09-04T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques, Free"
Senior’s Day,,"The Aquarium will offer free admission to people ages 50 and above on this special day. Discover more than 11,000 animals in over 50 exhibits, including the June Keyes Penguin Habitat, Wonders of the Deep, Shark Lagoon, and Lorikeet Forest. Special presentations and booths for seniors will be featured.",2014-09-05T09:00:00,2014-09-05T17:00:00,,Aquarium of the Pacific,562-590-3100,"Free for Seniors 50 and over, $28.95 Adults, $14.95 Children (3 -11), Free children under 3 and Aquarium members",Family Friendly
LA Greek Fest,{'url': 'http://www.lagreekfest.com'},"The annual L.A. Greek Fest is held on the Grand Plaza of the St. Sophia Cathedral located in the Byzantine-Latino Quarter of Los Angeles. This event is LA's premier Greek festival featuring the best of Greek foods, pastries, music, and folk dancing along with exotic gifts and arts and craft booths.
 
This event takes place September 5 - 7. 

",2014-09-05T17:00:00,2014-09-05T23:00:00,"{'human_address': '{""address"":""1324 S Normandie Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",St. Sophia Cathedral,213-737-2424,$5 ,"Culture & Community, Family Friendly, Fairs & Festivals"
LA Greek Fest,{'url': 'http://www.lagreekfest.com'},"The annual L.A. Greek Fest is held on the Grand Plaza of the St. Sophia Cathedral located in the Byzantine-Latino Quarter of Los Angeles. This event is LA's premier Greek festival featuring the best of Greek foods, pastries, music, and folk dancing along with exotic gifts and arts and craft booths.
 
This event takes place September 5 - 7. 

",2014-09-06T12:00:00,2014-09-06T23:00:00,"{'human_address': '{""address"":""1324 S Normandie Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",St. Sophia Cathedral,213-737-2424,$5 ,"Culture & Community, Family Friendly, Fairs & Festivals"
LA Greek Fest,{'url': 'http://www.lagreekfest.com'},"The annual L.A. Greek Fest is held on the Grand Plaza of the St. Sophia Cathedral located in the Byzantine-Latino Quarter of Los Angeles. This event is LA's premier Greek festival featuring the best of Greek foods, pastries, music, and folk dancing along with exotic gifts and arts and craft booths.
 
This event takes place September 5 - 7. 

",2014-09-07T12:00:00,2014-09-06T22:00:00,"{'human_address': '{""address"":""1324 S Normandie Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",St. Sophia Cathedral,213-737-2424,$5 ,"Culture & Community, Family Friendly, Fairs & Festivals"
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com.    

",2014-09-06T10:30:00,2014-09-06T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Port of Los Angeles Lobster Festival,{'url': 'http://www.lobsterfest.com'},"Awarded four Guiness World records, the Port of Los Angeles Lobster Festival features world-famous discount lobster meals, rides, games, the annual lobster pet parade, and non-stop entertainment. Come for the feast and stay for the fun.
 
This event takes place September 13 - 15. 

",2013-09-13T17:00:00,2013-09-12T23:00:00,,The Port of Los Angeles,310-798-7478,"$10 Adults, Kids under 12 Free","Family Friendly, Fairs & Festivals"
Fiestas Patrias,{'url': 'http://www.allacess.la'},"The largest Mexican Independence Day Festival in Los Angeles at the birthplace of Los Angeles, Olvera Street.

",2013-09-13T11:00:00,2013-09-14T18:00:00,,All Access Entertainment,310-914-0015,free,"Culture & Community, Holiday Celebration, Family Friendly, Fairs & Festivals"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on September 13 & 27

",2014-09-13T15:00:00,2014-09-13T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on September 13 & 27

",2014-09-27T15:00:00,2014-09-27T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Little Ethiopia Cultural Street Festival,{'url': 'http://www.littleethiopiabusinessassociation.com'},"A celebration of the Ethiopian New Year with cultural music dance, arts and crafts, and fine Ethiopian cuisine.

",2014-09-14T12:00:00,2014-09-14T20:00:00,,Little Ethiopia Business Association,319-877-3530,Free,"Culture & Community, Family Friendly, Free, Holiday Celebration, Fairs & Festivals"
ARTrageous Art Walk,{'url': 'http://www.www.cpthirdthursday.com'},"This family-oriented event returns on the third Thursday of each month from May through September. The event features musicians, artists, vendors, and food trucks through the streets of Historic Downtown Canoga Park.

",2014-09-18T18:00:00,2014-09-18T22:00:00,,Canoga Park Improvement Association,818-346-7480,free,"Culture & Community, Family Friendly, Free"
Long Beach Municipal Band Concert Series,{'url': 'http://www.longbeach.gov/park/'},"The Long Beach Municipal Band is in its 105th season, making it the longest surviving, municipally-supported band in the country. The annual summer concert series provides a chance for neighbors and families to gather outdoors for a relaxing evening of entertainment and music. You are welcome to bring your picnic basket, blankets, and lawn chairs.

Throughout the month of July, check website for more information.

",2014-07-01T18:30:00,2013-08-01T21:30:00,,"City of Long Beach Department of Parks, Recreation & Marine",562-570-3524,Free,"Family Friendly, Culture & Community, Free"
Latino Book and Family Festival,{'url': 'http://www.lbff.us'},"This family-oriented event promotes literacy in the Latino community. The festival features authors, book signings, readings, exhibitors, kids booths, entertainment, and ethnic food.

Throughout the month of October, check website for more information.

",,,,Latino Literacy Now,858-603-8680,free,"Family Friendly, Culture & Community, Free, Fairs & Festivals"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-10-02T17:00:00,2014-10-02T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques, Free"
Southeast Asia Day,{'url': 'http://www.aquariumofpacific.org'},"The Aquarium of the Pacific celebrates its tenth annual Southeast Asia Day. The festival’s program highlights the cultures of Cambodia, Thailand, Vietnam, Myanmar, Laos, and Indonesia. Guests will enjoy live performances, including music, dance, and cultural craft demonstrations, ethnic dishes, and children’s crafts.
  
",2014-10-04T09:00:00,2014-10-04T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Culture & Community"
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com.    

",2014-10-04T10:30:00,2014-10-04T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Los Angeles Hispanic Heritage Festival,{'url': 'http://www.cervantescenter.org'},"A celebration of the rich cultural diversity of Latin America and Spain with the presentation of folkloric groups, performers, artisans, painters, and raffles.    

",2014-10-05T12:00:00,2014-10-05T16:00:00,,"Cervantes Center of Arts & Letters
",,Free,"Culture & Community, Family Friendly, Free, Fairs & Festivals"
14th Annual Polish Film Festival Los Angeles,{'url': 'http://www.polishfilmla.org'},"Presentation of films made by Polish filmmakers with English subtitles. There will also be opportunities to meet with the filmmakers and actors.

Event takes place October 7 - 15, times vary, please check website for more information.

",2014-10-07T00:00:00,2014-10-16T00:00:00,,Polish American Film Society,818-982-8827,"$11 Adults, $8 Seniors, Free Students","Culture & Community, Fairs & Festivals"
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2014-10-09T12:00:00,2014-10-09T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on October 11 & 25

",2014-10-11T15:00:00,2014-10-11T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening. 

This event takes place on October 11 & 25

",2014-10-25T15:00:00,2014-10-25T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques, Free"
Taste of Encino Festival,{'url': 'http://www.tasteofencino.com'},"This is one of the highlights of early fall in the heart of the San Fernando Valley. Entertainment will include four stages of live folk, bluegrass, and other music styles to listen or dance to, along with creative storytelling. There will also be a variety of ethnic and American foods, a rock-climbing wall, a moon bounce, an arts and crafts fair, health and wellness pavilion, and more.

",2014-10-12T10:00:00,2014-10-12T17:00:00,,Encino Chamber of Commerce,818-789-4711,Free,"Culture & Community, Fairs & Festivals, Free, Family Friendly"
Clyde Porter’s Arts Day – Festival del Artista,,"This is a celebration of the arts and culture in the Valley. This free family street festival includes street performers, fine art exhibits, chalk artists, children’s games, dive entertainment, food, and refreshments. There will be events within the theatre and also on the street in front of the theatre where the Canoga Park Farmer’s Market takes place.",2014-10-18T09:00:00,2014-10-18T15:00:00,,Main Street Canoga Park,"818-346-7480
",Free,"Culture & Community, Fairs & Festivals, Free, Family Friendly, Arts & Antiques"
Autumn Sea Fair,{'url': 'http://www.cabrillomarineaquarium.org'},"This event offers ocean-related activities for all ages. Celebrate the bounty of the sea with games, beach Olympics, live music, ocean-related exhibits, face painting, a fireboat display, arts and crafts, and more. There will also be a sand sculpture contest, a chance to hunt for buried treasure, pirates, and marine-life puppet show. Chat with marine-related organizations set-up to share their information with you.

",2014-10-19T10:00:00,2014-10-19T16:30:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,Free,"Culture & Community, Fairs & Festivals, Free, Family Friendly"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-10-24T20:00:00,2014-10-24T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
Happy Harbor Halloween,{'url': 'http://www.portoflosangeles.org'},"This is a free carnival-style festival featuring games, crafts, music, face painting, storytelling, and more. The event will also include a children’s Halloween costume parade.

",2014-10-25T10:00:00,2014-10-25T13:00:00,,Port of Los Angeles,310-732-3508,Free,"Family Friendly, Free, Holiday Celebration"
Spooktacular,{'url': 'http://www.pico-rivera.org'},"Enjoy family activities including amusements, carnival games, spooky arts & crafts, the Trick or Treat Village, or take your picture at the various character photo opportunity spots. Visit the Radio Disney booth for awesome prizes and giveaways.

",2014-10-25T17:00:00,2014-10-25T20:30:00,,City of Pico Rivera,,Free,"Family Friendly, Free, Holiday Celebration"
Sea Scare,{'url': 'http://www.cabrillomarineaquarium.org'},"Travel to an “underwater world” of thrills, chills, and gills for its annual night-time Halloween event. Come in costume and scare up some goodies as you trick or treat at six themed goodie stations. The event includes a haunted house, pirates and treasure hunt, sea creature feedings, cryogenic demonstrations, spooky stories, fortunetelling, magic, games, bioluminescent crafts, dancing, a costume contest, and more.

",2014-10-25T18:00:00,2014-10-25T21:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,$5 ,"Family Friendly, Holiday Celebration"
Day of the Dead Festival,{'url': 'http://www.calleolvera.com'},"Colorful, ancient Mexican ceremony in remembrance of departed loved ones, with beautifully decorated altars, and entertainment.

Event takes place October 25 & 26

",2014-10-25T10:00:00,2014-10-26T18:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Family Friendly, Free, Holiday Celebration, Culture & Community, Fairs & Festivals"
Day of the Dead – Novenario Procession,{'url': 'http://www.calleolvera.com'},"As part of the Day of the Dead celebration, this is a Pre-Colombian Novenario procession and blessings each night beginning at 7:00 p.m.

Event takes place October 25 through November 2

",2014-10-25T19:00:00,2014-11-02T21:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Family Friendly, Free, Holiday Celebration, Culture & Community, Fairs & Festivals"
Community Altar,{'url': 'http://www.pico-rivera.org'},"Día de los Muertos is a celebration of the memories of family and loved ones that have passed on. In honor of this celebration, the Pico Rivera Department of Parks & Recreation will be installing an altar inspired by Our Loyal Pet - Nuestras Mascotas Fieles celebrating the love and bond between pet and owner. The altar will be located in the Pico Park Community Center lobby. The Center will be accepting photos, letters, and small mementos to be included in the altar.

Event takes place October 25 through November 8, check website or call for times

",2014-10-25T00:00:00,2014-11-08T00:00:00,,City of Pico Rivera,562-801-4470,Free,"Family Friendly, Free, Holiday Celebration, Culture & Community"
Halloween Haunted House Tour,{'url': 'http://www.griermussermuseum.org'},"The Grier Musser Museum will celebrate Halloween with children's readings, ghosts, goblins, and witches. The entire museum will be decorated for this Halloween party. The special day includes guided tours and refreshments.

",2014-10-26T13:00:00,2014-10-26T16:00:00,,Grier Musser Museum,213-413-1814,"$12 Adults, $6 Children","Family Friendly, Holiday Celebration, Arts & Antiques"
West Hollywood Halloween Carnival,{'url': 'http://www.visitwesthollywood.com'},"The much-anticipated West Hollywood Costume Carnival takes place annually along Santa Monica Boulevard in West Hollywood. From divas to drag queens to Dracula, more than 400,000 people participate in one of the world's largest colorful Mardi Gras-style street celebrations. It’s truly the place to see and be seen as Halloween revelers show-off their creative flair by strolling the beautiful boulevard in original and outrageous costumes.

Event takes place on Halloween night from 6:00 p.m. until the ghouls go away

",2014-10-31T18:00:00,2014-10-31T23:00:00,,City of West Hollywood,323-848-6400,Free,"Holiday Celebration, Free"
American Indian Heritage Month Celebration,{'url': 'http://www.www.laheritagemonth.org'},"American Indian Heritage Month is a citywide commemoration of American Indian history, heritage, and tradition in Los Angeles. The celebration will acknowledge American Indian contributions in the areas of education, religion, the arts, culture, and the humanities. Events include: community gatherings, educational programs, gallery exhibits, and several music, theater, and dance performances.

Events take place throughout the month of November at various sites throughout Los Angeles, for more information please visit our websites laheritagemonth.org and culturela.org

",2014-11-01T00:00:00,2014-11-30T00:00:00,,,,Varies by event,Culture & Community
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com.    

",2014-11-01T10:30:00,2014-11-01T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Día de los Muertos en Hollywood,{'url': 'http://www.ladayofthedead.com'},"Spectacular altars, theater presentations on six different stages, authentic Mexican cuisine, 20-foot walking skeletons, torch-lit paths, Aztec music, and ceremonial dancers enchant this festival.    

",2014-11-01T12:00:00,2014-11-02T00:00:00,,Hollywood Forever Cemetery,,Free,"Culture & Community, Holiday Celebration, Family Friendly, Free"
Día de los Muertos in the North East San Fernando Valley,{'url': 'http://www.tiachucha.com'},"Join Tia Chucha for an evening to celebrate our ancestors! The event features artisan vendors, food, spoken word, live music, and entertainment. All are welcomed to dress in best Día de los Muertos attire!

",2014-11-01T15:00:00,2014-11-01T21:00:00,,Tia Chucha’s Centro Cultural & Bookstore,818-939-3433,Free,"Culture & Community, Holiday Celebration, Family Friendly, Free"
Día de los Muertos Celebration,{'url': 'http://www.culturela.org'},"Join Sun Valley Youth Arts Center for a fun filled evening of art workshops, student art exhibit, refreshments, and entertainment for the entire family. Día de los Muertos (Day of the Dead) is an indigenous ritual of México celebrating life and the after life through art, music and family unity. The celebration concludes with an amazing ritual dance by Danza Temachtia Quetzacoatl. The public is welcome to participate in the community altar, bring a photocopy/image of a loved one who has passed to place on the altar. 

",2014-11-01T17:00:00,2014-11-01T20:00:00,,City of Los Angeles Department of Cultural Affairs,818-252-4619,free,"Culture & Community, Holiday Celebration, Family Friendly, Free"
Día de los Muertos Family Festival,{'url': 'http://www.culturela.org'},"A free community art festival celebrating the Mexican tradition of Day of the Dead. The event features musical entertainment, puppet show, altars, art workshops, and refreshments.. 

",2014-11-01T17:00:00,2014-11-01T20:00:00,,City of Los Angeles Department of Cultural Affairs,818-346-7099,Free,"Culture & Community, Holiday Celebration, Family Friendly, Free, Fairs & Festivals"
Day of the Dead Festival,{'url': 'http://www.visitwesthollywood.com'},"Colorful, ancient Mexican ceremony in remembrance of departed loved ones with beautifully decorated altars, and entertainment.

Event takes place November 1 & 2

",2014-11-01T10:00:00,2014-11-02T18:00:00,,El Pueblo Historical Monument,213-485-8372,Free,"Culture & Community, Holiday Celebration, Family Friendly, Free, Fairs & Festivals"
