naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
Rock Ravne - bitka bendov,raven prihajati bitka bend rocker novovalovci ostati mlad bend vabljen pokazati ravenski dan okvir natečaj rock raven zavod kultura šport turizem mladinski dejavnost raven koroški koroški mladinski kulturen center kompleks razpisovati natečaj rock raven potekati četrtek prireditven prostor leten bazen raven koroški razpis lahko prijaviti bend član dopolniti leto bend imeti razpolaga mina program prepričati žirija maksimalno število sprejet band natečaj nagrada osvojen mesto natečaj snemanje avtorski skladba studio nastop kmkca kompleks sezona lahko natečaj prijaviti email tadej zkstms avtorski skladba rock rock raven poletjenaravna kmkckompleks ravenskidan,2019-08-08 00:00:00,137,1685454408378556.0,2,Music,2,Music
Glasbena skupina Jackpot | Gasilska veselica Podzemelj,potem lani narediti totalen raztura glasben skupina jackpot sobota avgust vračati podzemlje govoriti letos bolj vroč lani postavla blizu velik oder podzemlje imeti razlog zaplesati belokranjski odojek jagenjček raženj čevapčič žar poskrbeti ekipa minul sobota izkazati zabava poletje kolpa mlad gams dje funaky začeti ura majkati lepo,2019-08-10 20:00:00,264,108134015874416.0,"15,16","Party,Kid Friendly",15,Party
"Bevška noč 2019 | Poskočni, Lidija Bačić, Lana Jurčević, Vražji",šaleški dolina pripravljen znova prihajati najbolj nor noč poletje znova prihajati bevški noč letos zabaven vesel razigran poskočen muzikant vroč neponovljiv lidij bačić petek ponoviti top žur vražji muzikant lan jurčević rezervacija miza odprtje vrata naprej lidij bačić vino rumeno lidij bačić ljubav nov lidij bačić tek počelo poskočen muzikant hulapalo poskočen muzikant noč poskočen muzikant adijo mada,2019-08-14 19:00:00,2124,103125856393752.0,15,Party,15,Party
Panika vol.5 w/ Matter,presented panika ziggi rolling papers petek jazz klub satchma dolg dolg predolg premor petek jazz klub satchma ponovno obetati razvraten večer tokrat glaven vloga prevzeti matter veljati nesporen vladar slovenski urban scena dacha tunja levanael mariborski občinstvo dobro znan lanski fak festival nedvomno poskrbeti nepozabno navdihujoče razprodan doživetje tokrat lahko ponovno pričakovati zmes surrealen komad album težko razprodan koncerten dvorana zakoten temnica rob mapiran ozemlje koncert glaven vloga prevzeti zdaj uveljavljen panika zabava potrebno posebej opisovati ponovno popeljati meja normalen posameznik potegniti delček podzavest vje lord animacija dorijan šiška vstopnica volja earlybird vrata dodaten prositi vhod treba imeti pripravljen veljaven oseben dokument zati panika,2019-10-25 23:00:00,662,146515905443115.0,"15,167","Party,Trap music",15,Party
Nočni vzpon na Slavnik,podgorje gostilna slavnik zbor ura vzpod slavnik krožen spust prešnica podgorje koča odprt gostilna slavnik prijavnina obvezen oprema kolo čelada lučka vabljen ljubitelj kolo slavnik dober družba,2019-08-14 20:00:00,128,401589336843771.0,3,Sports,3,Sports
Fiesta Latina ∣ Senorita ∣ Cvetličarna 29.11.,fiesta latina senoreti cvetličarna november slovenia biggesta latina event ata slovenia biggesta club cvetličarna mrzel november skupaj topel ritem naravnost južnoameriški plaža ulica lov iti when you call senoreti fiesta latina noč združevati žurer plesen šola plesalec zaljubljen vroč latinsko kultura prevzeti glasben lestvica youtuba družben omrežje kjer beležiti milijarda ogled malum balvin nicky jama daddy yankee ozun ricky martin sean paul shakirati ostati latina spektakel cvetličarna salsa bachati kizomba united latinos združen plesen šola ljubljana best reggaeton latina fiesta latina djs aga limit združen plesen šola cuban ljubljana salsatec ljubljana ruedasi atreveti bachati festival koroški plesen klub karmen sient enitan danec ensembel kizombas dancing buddh vstopnica naprej olaia omva bencinski servis trafika priporočati nakup vstopnica omogočati vstop vrsta vstopnica blagajna klub zapolnitev info msg fiesta latina cvetličarna eng fiesta latina exclusiv party wher you can danec your problems away with rhythm latina sounds you can expect all greatest hits fer your favouriti latina artists such jbalvin enriqu iglesisas malum nicky jama daddy yankee ricky martin sean paul shakirati and slovenia biggesta latina event ata slovenia biggesta club cvetličarna tickets buy iti her presati ticket gets you over waiting lina tickets ata entranec alsa fer untiti club full,2019-11-29 22:00:00,3135,43956324012.0,"15,80,170","Party,DJ music,Reggaeton",15,Party
Izmenjevalnica oblačil in knjig,jesen zima priti kmalu zato izmenjevati toplo šal pulover bunda kap hlače majica dolg gate rokavica nogavica zelo najti vedno spol starost izmenjevati knjiga ostati brati pozimi deka kavč čaj šalica izmenjevalnica oblačilo omogočati trajnostno odgovorno posodobitev garderoba zastonj alternativa hiter moda potrošništvo neodgovorno nepotreben izkoriščati naraven človeški vir mladinski center gornji radgona videti petek priti del sprememba dobro lahko izmenjevati odgovorno narava sočlovek poceni iti alternativa hiter moda izmenjava oblačilo pomagati zmanjševati količina tekstilen odpadek preprečiti nepotrebno izkoriščanje naraven vir surovina izdelovanje nov tekstil nov kos izmenjati kupiti manj prispevati izkoriščanje delavec tekstilen industrija država razvoj izpostavljen zdravje škodljiv kemikalija nevaren razmera delo zlorabljajoč uren postavka številen otrok izmenjava prizadevati nižati povpraševanje hiter moda vzpodbujati blagoven menjava ustvarjati alternativen potrošništvo dobro denarnica brezplačno posodobiti garderoba izmenjevalnica delovati enostavno izmenjevalnica prinesti kos oblačilo moden dodatek obutev več nositi dovolj dober stanje lahko popestriti omara kos prinesti čist cel zato izmenjevalnica odnesti prihod oblačilo prinesti prevzeti ekipa glede kategorija ustrezno razporediti izmenjevalnica začeti brskati razporejen kos pripraviti kotiček kjer mogoč oblačilo pomeriti najti oblačilo dobro počutiti vzeti domov izmenjevati izmenjevalnica oblačilo moden dodatek obutev starost spol uporaben čist lahko blago mogoč ponovno uporabiti star zavesa posteljnina prt kos prinesti sezonski dobro ohranjen čist najti,2019-11-29 17:00:00,129,255475667843256.0,"4,16,32","Volunteering,Kid Friendly,Causes",32,Causes
Spoznavna čaga 2019,prihajati nov študijski leto nov spoznaven čagati druženje tradicionalno začeti slomškov trg odličen priložnost mlad kolega podeliti nasvet prisluhniti modrost starešina spoznati nov družba stisniti roka star prijatelj večer nadaljevati jazz klub satchma kjer proces spoznavanje katalizirati skupina skeebeep slediti zabava jutranji ura slomškov trg jazz klub satchma karta prevzem možen torek,2019-10-02 21:00:00,255,146515905443115.0,15,Party,15,Party
blunout • Aleksander Mežek in Akademiki • 11.10.2019,kariera aleksandra mežek letos praznovati leto ustvarjanje lahko poimenovati zgodba dežela zmes slovanski srce kjer odraščati britanski kultiviranost kjer leto živeti ustvarjati avtor glasbenik leto britanski ameriški publika predstaviti album days leto kasno iziti slovenski prvenec siv pot ameriški pesem besedilo dovoljenje avtor glasba john denver postati slovenski danes nanizati več izdaja obširen opus skupina akademik oktober predstaviti klub blunout akademik blaža podibnik klaviatura tina lustek kitara nejc podobnik bas vid ušeničnik tolkalo vstopnica jocopy karantanski domžale blunout musica club ljubljanski domžale info blunoutclub gmailca rezervacija slediti follow fbblunoutclub instagram blunoutclub,2019-10-11 21:00:00,247,1644359842479171.0,2,Music,2,Music
Panorama Ladies Night,drag dama preživeti četrtek večer streha kranje odlično glasben vzdušje poskrbeti zig jan promotorka kozmetničen hiša artdeca cosmetics volja koristen nasvet malo sreča prejeti praktično kozmetičen nagrada odličen slaščičarka andrejin kuhinja pripravljati sladko presenečenje obiskovalka gospod tokrat ostati doma pokrovitelj dogodek ramazzott aperitiva rosat vstopnina euroseba priporočati rezervacija info starapostas,2019-10-17 20:00:00,164,1869045000007674.0,15,Party,15,Party
Obisk dedka Mraza s predstavo Škratka Sladka,praznik vrata škratek sladek čisto sam sladkodolski škrat vedeti sam praznik čaranje iti dobro rok peka prazničen piškot štetje razpletanje zapleten namig teta omleta potrebovati pomoč otrok publika pomagati velik srce domišljija solza spremeniti smeh pripeljati predstava srečen konec topel zimski pravljica poln glasba čisto pravi čarovnija nasmejati ogreti spomniti prazničen zaklad konec skupaj pričakati dedek mraz otrok obdariti vabljen,2019-12-17 17:00:00,186,209579665746445.0,15,Party,15,Party
K4 Live : Doša x Vazz,liv oder zavzeti poljanski rimoklepač rapa konec doš slovenski hip hop scena predstaviti dvojec deuc ustanoviti skupaj anže kacafura prvič duet pojaviti slovenski hip hop kompilacija fiv minutes fam narod blagor komad dost mama skaldba priromati mednaroden hip hop kompilacija speaking tongues deuc zadnjič pojaviti skupaj kompilacija lublana podtalno sodelujoč takrat malo manj znan zlatko doš nato sodelovati večina pomemben ime domač rap scena nikolovski klemen klemen leto ustanoviti založba datura leto zatem izdati dolgometražec memento moriti odmevati znan rima fuknt sredinec zrak skupaj nac jordan basso bmd anža metoda breskvar boben sestavljati delen banda slednji lahko razkazovati oktober klet vazza vodilen rimoklepač mlad generacija suveren izraz piliti številen freestyle tekmovanje opna mic prednastop prvenec individuum izpljuniti lani pozimi jeseni prihajati plata naslovljen jacob ljubljančan nastop ponos nastopanje doš družiti pogled metropola ljubljana undergrounda klub kersnikov ljubljana vstopnina entranec predprodaja olaiico vhod info info garderoba lost founda gmailca,2019-10-10 21:00:00,553,126700024052347.0,25,Art,25,Art
Tradicionalno KTŠ Brucovanje s 101ko,tradicionalno ktti brucovanje študijski leto ponovno začeti tradicionalno ktti brucovanje dobiti štab cas latina kjer žur poskrbeti skupina kdaj petek kje cas latina banda vstop prost študent študentka prinesti potrdilo vpis uraden ura dobiti kuponček brezplačen takratek,2019-10-25 21:00:00,149,404751006262860.0,15,Party,15,Party
8. festival Naprej/Forward,vabljen izdaja festival kakovosten medijski vsebina naprejforward vsebina festival namenjen novinar fotograf snemalec montažer ostal ustvarjalec medijski vsebina slovenija širok balkanski regija strokoven javnost sodelovati medijski ustvarjalec splošen javnost zahtevati kakovosten verodostojen relevanten novica program četrtek medijski bera gost senje pollak mihati drozg peter lesjak tušek adrijan bakič matija stepišnik odbit bit novinar tekma robot gost maruša kerec anža tomić aljoša rehar zaton facebook vzpon podkast gost matej praprotnik potrebovati lokalen dopisnik gost alenka tomašič nejc ašič vesen marinka nevenka dobljekar jura lesjak večeren pogovor ksenija horvat david jiméneza gost ksenija horvat david jiméneza petek delavnica izgorelost upati živeti drugače voditi tina bončina delavnica teren dobro fotografija voditi luka dakskobler čuvaj več,2019-11-21 14:00:00,304,717882301739945.0,32,Causes,32,Causes
Erasmus Day 2019,mednaroden dogodek erasmus day namenjen študent univerza maribor posebej bruc tuj študent izmenjava maribor erasmus day popeljati mednaroden parada več tuj študent država svet ura oblečen barva sprehoditi ulica mesten jedro rektorat univerza maribor trg leon štukelj tam študent lahko najti številen zanimiv aktivnost prijatelj predstavljati študentski društvo dobiti lahko informacija erasmus program mobilnost odkriti nov različen ponudnik storitev študent atrakcija dan virtualen kotiček kjer lahko pomoč vra očala sprehoditi poljuben evropski mesto selfia kotiček lahko pomoč phota booth stojalo prijatelj ustvariti nepozaben fotka sodelovanje aktivnost sodelovati velik nagraden žrebanje več bogat nagrada glaven nagrada potovanje oseba evropski prestolnica žreb podelitev nagrada konec dogodek zabava glasba manjkati najprej ogreti dje željka nato nastopiti zabavati tuj študent potegovati dober nastop program erasmus imeti talent večer vzdušje popestriti skupina groovocada happy mcweasti oktober dan erasmus day začutiti moč mednaroden energija navdihniti podati erasmus dogodivščina program mednaroden parada tuj študent ulica mesten jedro odprtje stojnica trg leon štukelj dje helius erasmus imeti talent nastopiti tuj študent glasben predskupina groovocada glasben skupina happy mcweasti žrebanje podelitev nagrada posebnost vra potovanje evropiti vra očala selfia tujina phota booth fotkanje zbiranje predprijava brezplačen jezikoven tečaj stojnica študentski svet dogodek brezplačen primer dež dogodek prestaviti dvorana ušca,2019-10-10 15:00:00,405,126971735359173.0,5,Other,5,Other
Državno prvenstvo v slam poeziji 2019,vseslovenski prvenstvo slati poezija trenutno sislam zveza mesto kamnik maribor ptovati ljubljana polfinalen izbor prispevati slamer oza slamerka sobota oktober ura dalje lahko spremljati beseden bitka izbranec izbranka buden spremstvo povabljen sodnik sodnica izbran presojevalec presojevalka iznajdljivost nastopajoč občinstvo smeh muzika vročina razkriti napoved približno priti uživati oblikovanje jan kumberger,2019-10-05 20:00:00,247,410276612466714.0,28,Crafts,28,Crafts
1. BIO DAN v Celju,predstavitev prodaja izdelek ekološki pridelovalec predelovalec spremljevalen strokoven družaben program nebo manjkati bio kulinarika bio pivo organizator društvo ekološki pridelovalec eka deteljica podpora moc zcca več informacija info ekodeteljicas lokacija glaven trg glasben program frajkinclar,2019-10-20 09:00:00,447,127227180990486.0,"16,27","Kid Friendly,Health",27,Health
Zaključek sezone fontane piv z Ines Erbus,iva sezona fontana pivo zaključiti velik slog družba pivovar odličen deesandydej inesa erbus boštjan rom podeliti nagrada sobota ura dalje dobiti fontana pivo vabljen,2019-11-02 16:00:00,858,669144513254081.0,15,Party,15,Party
INES ERBUS • Otvoritev party sezone • @Caffe bar Fur-či,inesa erbus otvoritev party sezona caff bar furčiti sobota start pripravljen noro zabava daleč počitnice konec sobota odpirati nov party sezona oder prihajati simpatičen inesa erbus kada cura čast malo popiti oči plav dim cigareta itd čakati živo inesa obljubljati noro zabava ogrevanje privoščiti kada cura čast malo popiti party pijača hostesa potruditi praznovati rojst dan teden prejeti takoč račun šeeeeeeeeeeeeeeeee vabljen noreti skupaj vstopnina,2019-08-31 22:00:00,1512,440624549345671.0,15,Party,15,Party
★ Mike Vale / Sam. o. Sim / Dj Kaos ★ La Siesta,sobota mik val mik val slovenski dje producent hiteti svetoven lestvica elektronski glasba zasloveti set ultra europa ministry sounda nastop coxov revolution dogodek spaca ibiza beatport uvrstiti lestvica dober prodajan artist čas zavedati čast imeti lahko videti nastopati priljubljen klub zadnji leto posebaj prelomno izdati velik hit najbolj znan odmeven trenutno beatport house chart mik val musica answer mik val fba sca ogrevanje zaključek poskrbeti sam ositi are dje kaos vstopnina vstop lokal točenje alkoholen pijača dober zabava vas siesta kavarna hrana klub nov markovci industrijski cona drag videti,2020-01-18 22:00:00,514,1048544891847659.0,"7,12,15,16,146","Electronic music,Dancing,Party,Kid Friendly,Eventing",15,Party
Gasilska veselica - 90 let PGD Tepanje,velik veselica šotor letnica pgd tepanje hkrati praznovati dan gasilec gza slovenski konjice program prireditev proslava letnica pgd tepanje ples kumski punca ansambel saš avsenik domač gasilec poskrbeti bogat srečolov lep nagrada pgd tepanje,2019-08-09 18:00:00,1266,1.0157440369563216e+16,"38,50","Dance,Dance music",38,Dance
Prižig prazničnih luči v Krškem Z ROCKDEFECT,letos skupaj prižgati prazničen lučka vabljen čimvečji število,2019-11-30 17:00:00,579,110771138948174.0,2,Music,2,Music
"Oasis cover - The Soundglasses @Bar Hiša Mladih, Ajdovščina",soundglasses musica oasis britanski rock skupina oasis leto ustanoviti brat glaven član lia noel gallagher svetoven slava skupina zagotoviti pesem wonderwall look backa anger slid away liv forever cigarettes and alcohol mnog svet prodati več milijon album leto skupina oasis razpasti leto namen preigravanje pesem zbrati peterica prijatelj okolica nov gorica ustanoviti skupina soundglasses edin skupina slovenija preigravati velik hit skupina oasis majhen začeten menjava član skupina leto delovati nespremenjen postaviti fant imeti koncerten nastop nastop poskrbeti obiskovalec dobiti dobršen mera pravi britanski poprock fba vstopnina,2020-02-08 21:00:00,263,2483314471916162.0,2,Music,2,Music
Let 3 (HR),provokativen rock skupina reka prepoznaven vpadljiv šokanten nastop začinjen golota vulgaren besedilo začetek segati leto imeti skupina status glasben fenomen edin stalnica nikoli vedeti točno pričakovati praviti cilj izzivanje kolektiven čustvo videti imeti posamezen narod sovražiti zgražati doživljati različnost leto definitivno edinstven zanimiv ideja glasba energija težnja šokiranje provokacija povezava youtuba vstopnica eura,2019-10-12 21:00:00,462,334501009947618.0,"2,4","Music,Volunteering",2,Music
Steklenik I Bojana Kunst: Rastline in umetniške institucije,predavanje bojan kunst rastlina umetniški institucija domnevati skupen mogoč misliti rastlinski življenje navezava institucionalen življenje zdeti oblika bivanje bolj različen rastlinski družben imeti več skupen zdeti pogled predavanje pokazati mnog umetniški delo narejen navezovati življenje rastlina odpreti institucionalen imaginacija nov način sobivanje prisotnost rastlinski življenje lahko spremeniti celoten institucionalen značaj umetniški del vplivati prisotnost umetniški del dobiti skupen svet predstaviti umetniški eksperiment raziskava posebej gledališki delo ločevati različen oblika življenje spreminjati način udeleženost,2019-09-05 19:00:00,461,1581734522117573.0,25,Art,25,Art
Božična bajka Slovenije 2019,božičen bajka slovenija odprt obiskati lahko dan vključno ura leto letos poskrbeti pričarati praviti prazničen duh obiskovati miklavž božiček pravljičen bitje vabiti številen novost nov steza natura podaljšan aleja lanterna posebej ozaljšan balkon etnološki objekt celoten park letos odet milijon lučka božičen bajka slovenija prebuditi lep,2019-11-30 16:00:00,754,1621311924809544.0,"15,16","Party,Kid Friendly",15,Party
Božična bajka Slovenije 2019,božičen bajka slovenija odprt obiskati lahko dan vključno ura leto letos poskrbeti pričarati praviti prazničen duh obiskovati miklavž božiček pravljičen bitje vabiti številen novost nov steza natura podaljšan aleja lanterna posebej ozaljšan balkon etnološki objekt celoten park letos odet milijon lučka božičen bajka slovenija prebuditi lep,2019-12-08 16:00:00,102,1621311924809544.0,"15,16","Party,Kid Friendly",15,Party
Saša Matič PURE Night Club 18.1.,saš matić poln klub diskoteka dvorana evropiti tokrat sobota pura club vokal saš matić opisovati lep balkan pevec različen glasben žaren folk rock glasba znan številen duet sodelovati severina jelen karleuša šaban šaulić dvom čakati izjemen večer club pura vstopnina polnoč vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiška ljubljana slovenia informacija info pureljubljanac,2020-01-18 22:00:00,604,445713185468708.0,2,Music,2,Music
Večer DSR: Posledice,društvo slovenski režiser vljudno vabiti večer društvo slovenski režiser nov sezona četrtek september slovenski kinoteka pogovor režiser igralec slovenski film posledica consequencesa lanski festival slovenski film požeti nagrada vesen dober režija darka štant vesen dober glaven moški vloga matej zemljič vesen dober stranski moški vloga timon šturbej nagrada občinstvo nagrada žirija slovenski filmski kritik kritičarka povezovati kolegica urša menart sodelovati darka štant scenarist režiser matej zemljič igralec andrej timon šturbej igralec željka gašper gep markun igralec nika vstop prost,2019-09-05 21:00:00,176,1650190111906522.0,36,Film,36,Film
Jimmy Barka Experience v Božidarju!,neugoden vremenski napoved koncert dvorana koncert klub božidarjev skupina jimmy barka začetek maj izdati malo plošča thre piec puzsti potem material rahlo mešati utrjevati teren sedaj naveza dostavljalec hrup zavod stiropor založba zoperstavljati poleten mrtvilo tišina jba stiropor častiti koncert mil nebo vrućina gradskog asfalt plato božidar koncert dje wood artworka marka stiropor podpora ministrstvo kultura mesten občina ljubljanaoddelek kultura,2019-08-02 21:00:00,1153,278033762715590.0,"2,16","Music,Kid Friendly",2,Music
Študentski HR hekaton: Kadrovski šprint,iti zbrati ekipa priprava ideja videti štart edinstven študentski hekaton kadrovski šprint hekaton dogodek izpeljan oblika tekmovanje kjer združiti različen posameznik namen reševanje določen posloven izziv iskanje inovativen rešitev hekaton rezultat rešitev problem sodelujoč podjetje potekati princip kratek šprint kadrovski šprint mlad zaposlovanje sodelujoč podjetje predstaviti problem konkretno srečevati področje zaposlovanje mlad milenijec generacija izziv študent nato reševati majhen skupina podpora mentor predstavnik podjetje glaven nagrada sodelujoč podjetje zmagovalen ekipa nagraditi tekmovanje hkrati priložnost mreženje sošolec vrstnik fakulteta predstavnik ugleden slovenski podjetje sodelujoč podjetje nlba nov ljubljanski banka ljubljanski mlekarna potek tekmovanje način potek tekmovanje prebrati spleten stran prijava prijava zbirati oktober zapolnitev mesto zato pohiteti prijava dogodek odprt študent fakulteta družben veda ekonomski fakulteta ljubljana filozofski fakulteta študent omogočati prijava ekipa maksimalen velikost ekipa oseba prijaven obrazec izpolniti oseba član ekipa email prejeti predračun plačilo predračun ekipa prijavljen podpirati individualen prijava prijava par prijava trojica študent naknadno združiti skupina stremeti maksimalno raznolik rešitev omejiti število prijava fakulteta truditi število udeleženec enakomerno razporejen fakulteta pomeniti obotavljati mesto hitro polniti prijavnina ddv pokriti strošek hrana pijača celoten dogodek organizator društvo študent kadrovski menedžment dškm fakulteta družben veda društvo študent psihologija slovenija dšps filozofski fakulteta management group ekonomski fakulteta sodelovanje podjetje compet doa,2019-11-20 08:00:00,179,533671950114401.0,5,Other,5,Other
Mednarodno srečanje zbiralcev,tradicionalno mednaroden srečanje zbiralec militarije starina odvijati prostor več leto srečanje leto oktober april sejem namenjen ljubitelj zbiranje ohranjanje lasten dediščina velik poudarek druženje medsebojen izobraževanje zanimiv obsejemski dogajanje hrana pijača dostopen sejemski prostor parkiranje neposreden okolica zagotovljen,2019-10-20 09:00:00,189,181906471980465.0,15,Party,15,Party
Tin Vodopivec - Peti element,uspešen turneja rock roll tina vodopivec vračati oder svež solo predstava stand komedija element element ogenj voda zemlja zrak naraven element element predstavljati poseben energija nastati dvorana publika nastopajoč lahko doživeti živo kavč doma sms lahko del šov sedaj poslati sms številka sporočilo postati del šov tina najbolj zanimiv sporočiti pokomentirati oder poseben gost šov jan kreuzer rok škrlep,2020-02-08 20:00:00,298,155016861224905.0,64,Comedy,64,Comedy
Johannes Brahms - Ljubezenski valčki,samospev balet operen baleten večer naslov ljubezenski valček nastajati umetniški vodstvo mojec lavrenčič klavirski spremljava mojec lavrenčič meta fajdiga nastopiti sopranistka maj krevs ceglar mezzosopranistka nuški drašček rojka tenorist gregor ravnik basist janka volčanšek koreografija plesalec ansambel prežet skladateljev mojstrski glasben slikanje ljubezenski čustvo resnobnost ironija iskrenost humor ustvariti lukas zuschlag jean sébastien colao vincenza venerusa brahmsov ljubezenski valček nov ljubezenski valček soditi skladateljev priljubljen delo sam poimenovati ljubek koncerten točka sožitje izvajalec tokrat odločiti izvedba klavir vokalen kvartet pridruževati baleten plesalec ustvarjati intimen stilističen odnos pesem ples besedilo tatjana ažman,2019-10-05 19:30:00,189,202868676481806.0,25,Art,25,Art
"Božično Novoletni Žur: Šank Rock, TABU, San Di Ego, Lumberjack",štajerski prihajati tradicionalen božičen novoleten žur sobota december ura rdeč dvorana velenje oder velik božičnonovoleten žur tresti šank rock tabu san ego banda lumberjack poceni vstopnica prodaja eventim petrol slovenija mynights vstopnica parter stojišče kontingent razprodan kontingent volja zadnji kontingent tribuna stojišče kontingent volja zadnji kontingent prost izbira sedišče vip stojišče kontingent razprodan kontingent volja zadnji kontingent vključevati poseben pogled poseben vhod poseben sanitarije super vip miza vstopnica veljati oseba kontingent volja zadnji kontingent vključevati miza dober pogled gratis penina poseben vhod poseben sanitarije strežba miza pozor število vstopnica omejen oseba mlad leto lahko vstopiti spremstvo starš skrbnik otrok vključno leto starost imeti vstop prost videti tradicionalen žur praviti rocker zamuditi,2019-12-21 20:00:00,1706,201354919886497.0,15,Party,15,Party
Šola zmajeslovja: Uvod v zmajeslovje,interaktiven voden ogled zmajeslovje veljati star naravosloven veda najmanj raziskan vedeti dolgo zmaj del svet kod priti vedeti držati povsem grad živeti moder izkušen profesor zmajeslovje zelo veliko vedeti zmaj govoriti občasno obiskati skrivnosten svet vedno najti krvoločen zmaj izmišljen starodaven pravljica metati koš zmaj varuh narava velik skrivnost svet modrost življenje profesor zmajeslovje odločiti skupaj vajenka pustolovka popraviti krivica zato ustanoviti šola zmajeslovje skupaj odpraviti zabavno nepozabno pustolovščina odkrivanje skrivnost zanimivost življenje zmaj uvod zmajeslovje kratek zgoditi nenavaden grad profesor zmajeslovje pustolovka raziskovalen pustolovščina najti izgubljen predmet svet zmaj pomeniti narisan simbol zmajski skrivnost varovati premoči dovolj pogum pridružiti naslednji dogodivščina sprejeti izziv treba spoprijeti pot lahko poučiti zmaj preučevanje zmaj zelo resno terenski delo terjati veliko mera srčnost odločnost predanost upati stopiti čevelj pogumen zmajeslovec vabljen naslednji nepozaben pustolovščina semester šolski leto skriven pisava zmajev skrivnost semester šolski leto uročen pustolovka začaran zmaj eliksir življenje cena vstopnica eura cena paket srečanje sklop posamezen semester eura primerno otrok leto starost prodaja vstopnica prodajen mesto ljubljanski grad spodnji postajati vzpenjača prodajen mesto število vstopnica omejen obisk interaktiven voden ogled priporočati vožnja tiren vzpenjača nakup vstopnica zagotoviti znižan cena povraten vozovnica,2019-09-21 11:00:00,158,320420914735819.0,5,Other,5,Other
WCKD Nation,jazz club ljubljanski grad glasba skupina wckd nation združevati svet jazz pop sodoben neosoul umirjen vokal ostajati zvest vzorec sodoben podpreti podlaga navdih najti jazz pop hiphop funek marec skupina wckd nation odpraviti mednaroden turneja baltika tam nastopiti koncert litev latvija estonija del turneja nastop mednaroden priznan showcas festival tallinn musica week kjer obeležen najbolj obetaven skupina festival skupina izdati singel new path baltski turneja skladba pozornost radijski postaja baltski država slovenija dodaten uspeh pomeniti uvrstitev estonski deezero lestvica najbolj predvajan sklad marec skupina zdaj pisanje nov avtorski sklad nastop slovenija jeseni obljubljati novica zasedba smrdeti bas kitara maša but vokal filip vaden kitara anža vrabec žig smrdeti boben skaz altovski saksofon sanda štor trobenta matica mikola tenorski saksofon glasben zvrst hiphop soul lokacija skalen dvorana jazz club ljubljanski grad odprt vstopnina eura cena vstopnica vključevati povraten vožnja vzpenjača zadnji vožnja vzpenjača prodaja vstopnica prodajen mesto ljubljanski grad recepcija hostel celica spodnji postajati vzpenjača prodajen mesto petrolov bencinski servis poslovalnica kompas slovenija,2019-12-06 21:00:00,148,320420914735819.0,2,Music,2,Music
Žive jaslice - Polenšak,živ jaslice prost primer slab vreme cerkev polenšak glasba izvajan živo,2019-12-28 18:00:00,219,2133824293590324.0,"4,16,25","Volunteering,Kid Friendly,Art",25,Art
Urban Grooves w/ AFEKT MUSIC,urban grooves pekarna gustafa zadnjič letos dobiti pekarna poseben štiriuren potovanje afekt musica popeljati nepozaben čas techno tech house zvok zagreti urban hitrost bit minuta pospeševati svetloben hitrost noč dati slišati najbolj popularen komad leto neizdan komad star hitič zatresti plesišče godzill mesto priti zamigati afekt musica special set fba soundclouda bio štajerski nezemljan soustvarjati mariborski elektronski scena dober leto set slišan velik festival slovenija kurzschluss stellar beat eca stil razviti slediti trend zato ločiti ostal glasba ustvarjati vibrirati močno zvok dotakniti celica telo vibracija premikati pravi smer takrat vedeti afekted with musica gti fba soundclouda bio znan privrženec malo trd ritem vrteti leto rezident klub terazza zmagovalec dje tekmovanje enigmatica ambasada gaviol organizator soorganizator velik festival dogodek ekipa futuredisco zadnji leto gti aktivno podati lasten produkcija glasba čas nanizati obilo izdaja založba airtax rec delta sounda corati rec hocus pocus alakaza itd deyca fba soundclouda bio mešalen miza srečanje leto priseči večno zvestoba minul desetletje nastopiti več manj slovenski klub nekajkrat gostovati evropski država češki malta španija italij avstrija itd poznati rezident organizacija futuredisco festival natura sounda leto savinjski regija privabljati množica konec slovenija kje gustafa pekarna železnica maribor kdaj sobota december exter gost prejeti proma mixed afekt musica nor scena vizualizacija exter light prispevek,2019-12-07 23:00:00,310,119301271601960.0,38,Dance,38,Dance
Kako bo mogoče? – posvet o digitalni prihodnosti slovenščine,petek september zborničen dvorana stavba univerza ljubljana kongresen trg potekati dogodek naslov mogoč posvet digitalen prihodnost slovenščina posvet organizirati center jezikoven vir tehnologija univerza ljubljana inštitut slovenski jezik fran ramovš zrc saz raziskovalen infrastruktura clarins institut jožef stefan slovenski društvo jezikoven tehnologija namen posvet ugotoviti ukrep najbolj učinkovito prispevati uspešen razvoj slovenščina digitalen okolje čas pospešen digitalizacija globalizacija nameravati udeležiti dogodek prositi prijaviti pomoč spleten obrazec prijava obvezen spleten stran dogodek vljudno vabljen,2019-09-27 09:00:00,194,2175239375938860.8,5,Other,5,Other
Wuerth Dan odprtih vrat,vabiti dan odprt vrata četrtek ura sedež podjetje industrijskoobrten cona trzin brodišče leto lahko letos ogledati novost npr nov linija baterijski orodje bauloc sistem gradbišče ostal wurth izdelek predstavitev razstaven prostor izdelek vabiti druženje pogostitev vljudno vabljen,2019-09-26 10:00:00,135,1443773425928678.0,15,Party,15,Party
