naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi
Šola zmajeslovja: Uvod v zmajeslovje,interaktiven voden ogled zmajeslovje veljati star naravosloven veda najmanj raziskan vedeti dolg zmaj del svet kod priti vedeti drža povsem grad živ moder izkušen profesor zmajeslovje zelo velik vedeti zmaj govor občasen obiskati skrivnosten svet vedno najti krvoločen zmajati izmišljen starodaven pravljica meč koš zmaj varuh narava velik skrivnost svet modrost življenje profesor zmajeslovje odločiti skupaj vajenka pustolovka popravilo krivica zato ustanoviti šola zmajeslovje skupaj odpraviti zabaven nepozaben pustolovščina odkrivanje skrivnost zanimivost življenje zmaj uvod zmajeslovje kratek zgoditi nenavaden grad profesor zmajeslovje pustolovka raziskovalen pustolovščina najti izgubljen predmet svet zmaj pomeniti narisan simbol zmajski skrivnost varovati premor dovolj pogum pridružiti naslednji dogodivščina sprejeti izziv treba spoprijeti pot lahek poučiti zmaj preučevanje zmaj zelo resen terenski delo terjati velik mera srčnost odločnost predanost upati stopiti čevelj pogumen zmajeslovec vabiti naslednji nepozaben pustolovščina semester šolski let skriven pisava zmajati skrivnost semester šolski let uročen pustolovka začaran zmaj eliksir življenje cena vstopnica eura cena paketa srečanje sklop posamezen semestra eura primeren otrok let starost prodaja vstopnica prodajen mesto ljubljanski grad spodnji postaja vzpenjača prodajen mesto število vstopnica omejen obisk interaktiven voden ogled priporočati vožnja tiren vzpenjača nakup vstopnica zagotoviti znižati cena povraten vozovnica,2019-09-21 11:00:00,158,320420914735819.0,5,Other
WCKD Nation,jazz club ljubljanski grad glasba skupina wckd nation združevati svet jazza pop preplet sodoben neosoula umirjen vokati ostajati zvest vzorec sodoben bje podpreti podlaga navdih najti jazz pop hiphop funek marec skupina wckd nation odpraviti mednaroden turneja baltik tam nastopiti koncert litev latvija estonija del turneja nastop mednaroden priznan showcas festival tallinn musica week kjer obeležen najbolj obetaven skupina festival skupina izdati singla new path baltski turneja skladba pozornost radijski postaja baltski država slovenija dodaten uspeh pomen uvrstitev estonski deezero lestvica najbolj predvajan sklad marec skupina zdaj pisanje nov avtorski sklad nastop slovenija jesen obljubljati novica zasedba smrdeti basa kitara maša but vokati filip vadno kitara anža vrabec žig smrdeti boben ger skaz altovski saksofon sanda štor trobenta matica mikol tenorski saksofon glasben zvrst hiphop soula lokacija skalen dvorana jazz club ljubljanski grad odprt vstopnina eura cena vstopnica vključevati povraten vožnja vzpenjača zadnji vožnja vzpenjača prodaja vstopnica prodajen mesto ljubljanski grad recepcija hosti celica spodnji postaja vzpenjača prodajen mesto petrolov bencinski servis poslovalnica kompas slovenija,2019-12-06 21:00:00,148,320420914735819.0,2,Music
Žive jaslice - Polenšak,živ jaslica prost primer slab vreme cerkev polenšak glasba izvajati živ,2019-12-28 18:00:00,219,2133824293590324.0,"4,16,25","Volunteering,Kid Friendly,Art"
Urban Grooves w/ AFEKT MUSIC,urban grooves pekarna gustaf zadnjič letos dobiti pekarna poseben štiriuren potovanje afekt musica popeljati nepozaben čas techen tech hous zvok zagreti urban hitrost bit minuta pospeševati svetloben hitrost noč dati slišati najbolj popularen komad let neizdan komad star hitič zatresti plesišče godzill mesto priti zamigati afekt musica special set fba soundcloud bio štajerski nezemljan soustvarjati mariborski elektronski scena dober let seti slišan velik festival slovenija kurzschluss stellar beati eca stil razviti sled trend zato loč ostal glasba ustvarjati vibrirati močen zvok dotakniti celica telo vibracija premikati pravi smer takrat vedeti afekted with musica gti fba soundcloud bio znan privrženec mali trd ritem vrteti let rezident klub terazza zmagovalec dje tekmovanje enigmatica ambasada gaviola organizator soorganizator velik festival dogodek ekipa futuredisca zadnji let gti aktiven podati lasten produkcija glasba čas nanizati obilo izdaja založba airtax rec delt sounda corala rec hocus pocus alakaza itd deyca fba soundcloud bio mešalen miza srečanje let priseči večen zvestoba minul desetletje nastopiti več manj slovenski klub nekajkrat gostovati evropski država češki malta španija italija avstrija itd poznati rezident organizacija futuredisca festival natura sounda leto savinjski regija privabljati množica konec slovenija kje gustaf pekarna železnica maribor kdaj sobota december exter gost prejeti proma mixed afekt musica nor scena vizualizacija exter light prispevek,2019-12-07 23:00:00,310,119301271601960.0,38,Dance
Kako bo mogoče? – posvet o digitalni prihodnosti slovenščine,petek september zborničen dvorana stavba univerza ljubljana kongresen trg potekati dogodek naslov mogoč posvet digitalen prihodnost slovenščina posvet organizirati center jezikoven vir tehnologija univerza ljubljana inštitut slovenski jezik fran ramovši zrce saz raziskovalen infrastruktura clarins institut jožef stefan slovenski društvo jezikoven tehnologija namen posvet ugotoviti ukrep najbolj učinkovit prispevati uspešen razvoj slovenščina digitalen okolje čas pospešen digitalizacija globalizacija nameravati udeležiti dogodek prositi prijaviti pomoč spleten obrazec prijava obvezen spleten stran dogodek vljuden vabiti,2019-09-27 09:00:00,194,2175239375938861.0,5,Other
Wuerth Dan odprtih vrat,vabiti dan odprt vrat četrtek ura sedež podjetje industrijskoobrten cona trzina brodišče leto lahek letos ogledati novost npr nov linija baterijski orodje bauloc sistem gradbišče ostal wurth izdelek predstavitev razstaven prostor izdelek vabiti druženje pogostitev vljuden vabiti,2019-09-26 10:00:00,135,1443773425928678.0,15,Party
Piknik kino Atlantis: Bilo je nekoč v Hollywoodu,piknik kino bežigrad film nekoč hollywood kje voden mesto atlantis kdaj avgust film nekoč hollywood zgodba igralec dvojnik odpraviti pot najti mesto sonce filmski daven let dogodek odvijati los angelo vrhunec hollywood piknik kino piknik kino kino prost formalen sedenje ogled film park plaža ustvariti edinstven piknik doživetje obiskovalec lahek udoben namestiti ležalnik napihljiv blazina deka lahek prinesti priporočljiv sposoditi prizorišče dogajanje več vstopnica možen nakup kino vstopnica vstopnica kino obiskati pričeti zunanji del atlantis igrišče nakup kino vstopnica prizorišče ura nakup vstopnica kino bazen blagajna voden mesto atlantis nakup vstopnica zagotoviti vstop prizorišče vstopnica vezan sedišče primer slab vreme razpisati nov termin odpoved objavljen spleten stran družben omrežje imetnik naprej kupljen vstopnica koriščenje lahek prebrati spleten stran,2019-08-23 21:00:00,221,710247339094342.0,36,Film
Spopad generacij 2019,spopad generacija stolp škrlovec petek sobota dalja cena dneven vstopnica cena dneven vstopnica enoten veljati obisk predstava vstopnica volja kavarna layer dan dogodek letošnji oktober prinašati tradicionalen impra boj spopad generacija razdeliti improvizator generacija mladec starec vedeti spraševati imeti škrlep vedno mlečen zob šorlijev kolk pravi bohinc rojstvo star let odgovor razkrit pomoč medgeneracijski boj spremljati stolp škrlovec letos videti različen večer kjer mlad pest spopasti star komolec petek predstava babyzator šolski zgodba minuten show improvizator dopolniti let izvedeti dogajati šolar droga hud bejba snep več bejbija mih bohinc tibor šergan katarina jenka nejc fabjan medgeneracijski kvize impra izziv videti predstavnik generacija podati različen nalog kvize master din kapetanovič sestaviti vprašanje naloga različen tematika pravilen odgovor podariti točka napačen kazen dovolj režiser rok bohinc navdih vprašanje izzvati improvizator odigrati različen prizor predstava pokazati mlad pamet star modrost mlad trojka nejc šmiti rok škrlep tar česnik star trojka matjaž peklati mihael šorel vid sodnik petek glasbenik urh mlakar sobota predstava babyzator šolski zgodba minuten show improvizator dopolniti let izvedeti dogajati šolar minimalen standard doseči telovadba ocena več finale spopad generacija mladec starec izbran heroj generacija pomeriti odločiti generacija jač tekmovati pripovedovanje zgodba igranje prizor petje pesem diktirati moderator saša star generacija tokrat dvigniti titula mladec nejc šmiti rok škrlep kerna din kapetanović starec rok bohinc matjaž peklati mihael šorel sobotek glasbenik goran zavrsnik predstava odviti stolp škrlovec videti spopad,2019-10-25 18:00:00,204,118918941507564.0,"16,64,135,143,283","Kid Friendly,Comedy,Comedy (theater),Improv comedy,Pub trivia"
"17.10. KoD: Sober Assault, Moshead - Orto Bar, LJ",kadilnica death koncert skupina sober assault moshead četrtek orta bar ljubljana kadilnica death facebook oktobrski thras metati napad koncert sezona kadilnica death potekati znamenje thras metati gost vračati odličen domač thras zasedba sober assault grosupljati moshead škof loka začetek koncert klub cena vstopnica koncert obiskovalec kod članski izkaznica vstopnica brezplačen metati večer kadilnica death vstopnina metati večer sober assault sober assault štiričlanski naveza grosupljati nastal let glasben napad poslušalec ustvarjen simbioza thras melodica death metati element surov agresija nasilje rezultat hiter agresiven kitarski riff surov vokal grmeč bass linija hiter nasilen boben nepričakovan melodija kitara video moshead łep słatek momec thras metati banda škof loka gregor lavtar vokati ritem kitara tilen jan lead kitara kleme bergleza basa rob buh boben video kadilnica death dirty skunks vsakoleten serija metati večer ime kadilnica death odvijati četrtek mesec dalja orta bar pričakovati lahek velik raznolik metati glasba različen dje tematski večer sprejemati glasben želja zagotovo akcijski cena pijača biljard nekajkrat mesečen okvir metati večer prirediti koncert domač metati bend simboličen vstopnina kadilnica death vstop vhoden vrata orta bar nahajati naravnost kadilnica death kadilnica death fba spleten stran dirty skunks,2019-10-17 21:00:00,213,378314441102.0,2,Music
Kavarniški večer / Tilen Lotrič / 9. 8.,tilen lotriči mnog poimenovati mlad pestner neverjeten glas avdicijski oddaja slovenija imeti talent zaslužiti zlat gumb ponesti naravnost polfinale tam pot končati nastop prepričati zahteven publika uvrstiti superfinale šov kdaj začetek ura kje pišek bar lopata celj prost vstop,2019-08-09 19:00:00,151,741375192585718.0,2,Music
Indoor Varash Roundnet Tournament,klub mlad turnišče roundneti pomurje roundneti turnir odvijati osnoven šola turnišče sistem tekmovanje rounda robina mesto bogat nagrajen jedača pijača poskrbljen vabiti prijavnina ekipa ekipa ekipa closeda englis roundneti pomurje anda klub mlad turnišče ara indoor sistem play rounda robina first thre places will rewarded food anda drinks takno cara eura per tea register hera ekipa closeda,2019-11-16 10:00:00,107,460168981251807.0,3,Sports
Foto razstava Resonance - Janez Pelko,koncerten večinoma posneti ljubljana oči oboževalec manj posnetek publika večina prostor tik oder koncert blacka sabbath david bowio iggy pop iron maiden jethra tull nirvan metallica itd janez pelka,2019-11-07 18:00:00,145,773386632688577.0,"16,25,62","Kid Friendly,Art,Art exhibition"
"15.11. SickBreed, U$IŁ, March of War - Orto Bar",sickbreed rocka banda ljubljana pot začeti let začeti igrati lokalen scena zdaj izdati glasben videoposnetek pinka joy deception album naslov joy deception skupina imeti član maksa drobež kitara vokati haris bass andraža leben boben vsebina besedilo glasba ukvarjati vprašanje globalen političnikulturen pojav vedno bolj miopičen današnji kultura kje lahek najti mesto današnji svet bandcamp fba yti usił projekt janez weiss maks špelka opisovati bipolar ostal zanimati lahek priti koncert fba yti march war banda okolica ljubljana glasba opisovati melodica death metati primes blacka metati mow let želja lead kitarist nato sodelovanje povabilo vokalist bobnar danes skupina zamenjati velik članov član ostajati letošnji let koncert poln postava dobiti ritem kitarist basist obljubljati nepozaben koncert velik dim kri bandcamp fba vstopnina,2019-11-15 20:00:00,257,378314441102.0,2,Music
Krom Chill Session,kolektiv imeti izbira odgovoren serija dogodek ker klub medtem brati prebijati gneča turistov pot morje obljubljati skupen sprostitev dober voden telo kontinentalen venija pričakovati plavajoč ritem foma rip gabiti dogodek brezplačen,2019-08-11 15:00:00,121,1943037285931970.0,2,Music
After Najmaturanc Party - Budva 2019,forever young after party budva velik vseslovenski after zabava kompas young ekipa mesto združiti energija emocija ljubezen ples sreča veselje beseda odveč zavedeti lep teden življenje mesto nepozaben noč podoživeti dan lep tukaj zdaj lep priložnost prijatelj sošolči enkrat več preboj odrasel bolj zrel svet nov era življenje kdaj petek prireditven prostor dvorana zlatorog celj nastopajoč kompas young mca dje budva celoten ekipa objavljen naknaden zagotavljati čist festival novoleten preparty banje luk adventen zagreb after zmagovalec nagraden igra bus budva vstopnica cena vstopnica možen kupiti izlet cena vstopnica dan dogodek dogodek razprodan vstopnica mogoč kupiti kompas promotor pozor vstopnica kupljen naknaden slovenija mogoč avtobusen prevoz avtobusen prevoz cena transfer mogoč vplačati avtobus pot smer slovenija ura odhoden mesto avtobusen transfer after zabava objaviti fba dogodek kasneje dan začetek zabava avtobusen odhod nakla marinšek nakla kranje apa kranje škofje lok šolski center škofje lok ljubljana dolg most nov mesto mercator center bršljin brežice apa brežice litij apa litij murski sobota apa murski sobota raven koroški šolski center raven velenje rdeč dvorana ormož apa ormož ptovati apa ptovati zagorje sava apa zagorje trbovlje apa trbovlje slovenski konjica apa slovenski konjica maribor apa mlinski kam iti december nov leto banje luka božič adventen zagreb prej najbolj nor ski opening zinnen dolomites ski ara young ara kompas young will forever young budva,2019-09-20 22:00:00,1537,2203588759651109.0,15,Party
Večer s Petrom Svetino,zanimati oče brat oseba poseben potreba zanimati nalog varuh človekov pravica vprašanje odgovarjati specialen pedagog varuh človekov pravica svetina zato vabiti pridružiti ponedeljek oktober pedagoški fakulteta predavalnica naknaden sporočiti glede število udeleženec zato prositi prisotnost sporočiti naslednji povezava število udeleženec omejen zato vabiti večer preživet dober družba,2019-10-21 18:00:00,188,385592961537529.0,5,Other
Pianopolis 2019,festival mesto klavir september vrač stolp škrlovec ljubitelj klavirski glasba račun priti petek nedelja september joep beving nti drag ivanuš shid shahabiti irs zlat pianist lara oprešnik matija drofenik urban stanič nastasje vid ibica pio landeker tobija avšič petek stolp škrlovec shid shahabiti irs joep beving nti sobota stolp škrlovec drag ivanuš carlos cipa dejati nedelja stolp škrlovec zlat pianist lara oprešnik matija drofenik urban stanič nastasje vid ibica pio landeker tobija avšič okvir letošnji festival galerija stolp škrlovec odpirati razstava francoski fotograf romaina thiery rekvio klavirje vstopnica petek sobota nedelja vstopnica volja olaiic blagajna kavarna layer rezervirati lahek layers povezava spleten stran instagram youtuba zavod carnica layerjev hiša pianoro podpirati mesten občina kranje,2019-09-13 20:00:00,225,1960286974020813.0,25,Art
9. Festival ovčje volne Bicka,volnen butika bicka solčati prireditven prostor solčav prigon ovca striž licitacija plemenski jagnjica prikaz predelava volna delavnica kulinarik domač specialiteta moden revija oblačilo obutev moden dodatek volna tržnica volnen izdelek razstava,2019-09-14 07:00:00,184,247401835462703.0,5,Other
Poslovilna zabava od Gostilnice in pivnice Šiška,pivnica šiški zapirati vrata stranka prijatelj veseljak vabiti nov lokacija gostilnica pivnica vič trg mdba klub cirkus skupaj zapreti zadnji platnica knjiga pravilen način proslaviti nov zgodba zabava odvijati praznovati hkrati zaključek nov začetek razvajati živ mina burger gratis pivo gratis videti zabava vrhunski,2019-09-05 18:00:00,363,125452225032441.0,18,Food
MC Members feat. Everything Goes - SOB 5/10/19,ftrgancija dje ekipa tokrat poskrbeti zadihati komad prijatelj metelkov everything goes odpičen žurer žila teči alternativen kri štajerski poseben voziti punka rocka metati topel priporočati obleči pretopel karaok vmes bit sindikalen cena pijača vstop nor žurka mogoč članski izkaznica imeti izgubiti lahek dobiti dan šanek mcje dan dogodek potem zrihtati dom pozabiti stati mcje medtem noter zabavati fajna amen kamen,2019-10-05 18:00:00,282,615833088558835.0,2,Music
Festival slovenskih sirov,združenje kmečki sirar slovenija torek oktober vaba brd kranje kjer odvijati festival slovenski sirov prihodnji dan kratek spoznati sodelujoč kmetija festival predstaviti sir vstopnina posameznik skupina človek več oseba vključevati brezplačen degustacija sirov siren prigrizek,2019-10-01 12:00:00,601,224993984265441.0,18,Food
"4. #gremovhribe, Kosijev dom na Vogarju",hkrati predzadnji dogodek gremovhrib sezona odvijati znan lokacija osrčje triglavski naroden park prijatelj planinec gostja kosijev dom planina vogar bohinjski jezero razpotegnjen planina grbinast travnik številen pastirski stan danes večinoma počitniški hišica koder bližnji razgleden točka odpirati lep razgled bohinjski jezero spodnji bohinjski gora tolminski gora odličen destinacija samostojen pohod vmesen postaja pot osrčje julijski alp planina lahek dostopen kratkohlačnik posebej vesel ustvarjalen delavnica animacijski nagraden igra čakati presenečenje član grs bohinj predstaviti delo zadnji let turističen gorniški obremenjen področje triglavski naroden park dostop planina vogar star fužina najprej cesta planina blato vas zaviti levi markiran pot dober ura pripeljati planina vogar zavedati pločevinast preobremenjenost alpski dolina poleten čas zato veselje pozdravljati možnost dostop lep lokacija bohinj parkirati peljati informacija dostopen povezava tokrat prijazen vabiti družba vpis zlatorogov časten vpisen knjiga vedeti podpis pivovarna laški prispevati delovanje lokalen grs tokrat pomagati društvo gorski reševalen služba bohinj varimoboljšisvet,2019-08-24 09:00:00,554,337521703472032.0,"3,16,85","Sports,Kid Friendly,Hiking"
"Rokov tek 2019, 21. september 2019 v Šmarju pri Ješah",rok tek mednaroden maraton sobota šmar jelša rokec kilometer starta rok tek kilometer čil frika maraton kilometer starta ura proga postojanka domač dobrota osvežilen pijača slovenski hrvaški stran cilj podčetrtek aqualuna medalja topel obrok pijača brezplačen kopanje dan prireditev presenečenje kolo starta ura proga rokov tek lahek prevoziti kolo hrvaški občina ugodnost tekač rok tek maraton duša,2019-09-21 10:00:00,313,144959102195276.0,"3,16,130,212","Sports,Kid Friendly,Cycling,Running"
Feminizem danes: Rojene v plamenih,oktober začenjati feminističen seminar sestavljen obstoječ reden feminističen dogodek ciči predavanje feminizem danes potek trubarjev hiša literatura bralen krožko sestrovščina ponosen delfin potek škratov čitalnica ciči predavanje namenjen prevpraševanje sodoben oblika delovanje patriarhalen oblast ključen problem feminizem danes dotikati vprašanje povezovanje taktika organiziranje delovanje zgodovina boj odnos preteklost sedanjost nenazadnje prihodnost feminizem bralen krožek namenjen obravnava sodoben klasičen feminističen del udeželenka udeleženec vnaprej določiti branje letošnji sezona bralen krožek namenjen obravnava klasičen del teoretski prozen dopolnjevati srečanje seminar spored torek zagnati prihodnji torek pogovor fim borna flames predstaviti teoretičarek kritičarek feminističen kvir film jasmin šepetavca projekcija slediti pogovor film projekcija delfinka klara otorepec katja čičigoj razgrniti program letošnji feminističen seminar napovedati tema predavateljiceja lotile predstaviti knjiga letos prečesavale bralen srečanje obetati filmski literaren feminističen ura velik tehten razprava pereč tematika področje feminističen teorija zgodovina spol seksualnost uvoden film sodeč feminističen revolucija kratek predstavitev film rojen plamen borna flames feminističen znanstvenofantastičen film režiserek lizzio borden pomoč prijateljica dokončati let zgodba postavljen fiktiven postrevolucionaren zmagati socializem let revolucija postaja jasen uresničiti obljubiti odnos ženska zato organizirati upreti režiserek živeti new york čas ruby rich knjiga new queer cian opisati čas ženski gibanje izbruh epidemija aids feminističen skupina lezbičen emancipacija reagan reagan smisel rojen plamen film izrazit kontekstualiziran čas prostor izhajati gibanje civilen pravica hkrati kritik razplet hkrati zgodba neverjeten aktualen zgodba znanstvenofantastičen film spominjati čas izjema socialističen država bistvo minevanje čas iti pravica ženska neprestan vračanje star,2019-10-01 19:30:00,157,1486186481643034.0,36,Film
Tečaj varnega rokovanja z orožjem,celodneven tečaj pedagoški ura namenjen kandidat pridobiti orožen listina usposabljanje sled preizkus znanje varen rokovanje orožje članski komisija pridobljen certifikati pogoj izdaja nabaven dovoljenje kasneje ustrezen orožen listina kandidat usposabljanje naučiti osnoven znanje varen ravnanje orožje spoznati različen kategorija orožje zakonodaja področje ravnanje orožje kazenski praven zakonodaja povezava tema osnova pomoč,2019-09-07 08:00:00,148,67144234841.0,3,Sports
Nacionalni parki ZDA (potopisno predavanje),lasten režija september slab teden prevoziti nacionalen park zahoden začeti hribovit yoseti očarati razgled pokončen graniten stena jug odpeljati park kings canyon sequoio park ogledovati veličasten sekvoj death valley presetiti lepota barva zion sprehoditi reka znotraj park uživati razgled kanjon kanjon bryca naraven amfiteater popolnoma navdušiti sprehoditi ozek kanjon antelop sončen žarek opoldan zažareti rdeč podoba pot ogledati slovit jez hoover dama reka colorada helikopter poleteti navdihujoč granda canyon hribovit granda teton prispel zadnji obiskan park pot slovit yellowston dan uživati družba gejzir bizon slediti vožnja san francisca kjer ogledati znamenit zapor alcatraz,2020-03-24 18:00:00,407,1906189286151153.0,"5,16","Other,Kid Friendly"
"RAP Domačica: Obala prihaja w/ Masayah, VAZZ, WERA…",rapa domačica obala prihajati masaya vazz lux ptovati ula viktorino ptujski sobota soon masaya masaya reperek obala drillov krilo hiter postati poznan slovenski hiphop javnost mladost obvladovati mikrofon neverjeten energija samozavest spretnost izkušen rima dohitevati karizma kratek izdati hit pust vazz individum pabla kolega wer moriarty zima repati maribor esey narobe obrnjen svet spomin skrit gost mešalka dje rag mast rag rezervacija miza,2019-07-27 22:00:00,240,640113403100031.0,25,Art
Habsburžani in drugi plemeniti rodbinarji,humoren pogovoren večer plemiški rodbina tla popularen kultura snemanje podkast podrobnost zanimiv čeljust posloven priložnost videti številen sodoben center dentalen medicina zgodovina skrivati vrsta nenavaden podrobnost zaprašen arhiv bleščava digitalen medmrežje skušati izbrskati sodelujoč voditelj podkast podrobnost boštjan gorenc pižama anže tomić klepet roman vučajnka navdušenec kronan glava mojster evropski borilen veščina resničen plemič tapeta znajti film najti lahek nadeti vrhoven krona boštjan gorenca pižama avtor klasik plemiški rodbina grad velik srečevati saga pesem led ogenj george martin oder trenuten najbolj aktiven komediti brada mikrofon podkast podrobnost grad imeti moder kri imeti nekoč minuta zbosti naliven pero anža tomić voda mreža apparatus podkast mreža govorilo mikrofon govor zato človek služba spleten urednik val roman vučajnka nekoč aristokrat ponuditi robec nos uliti kri oči prepričati barva pomen nobles obliž bolj skrb fenomen plemstvo povezati prevajalski delo strast zgodovina padel raziskovanje zgodba človek naziv rodbina srednjeveški let stkati prostran barven odtenek ljub karel pristop dvobojevanje francoski kralj zmršiti per lokacija grajski gledališče cena vstopnica odrasel dijak študent upokojenec prodaja vstopnica prodajen mesto ljubljanski grad spodnji postaja vzpenjača prodajen mesto obisk dogodek priporočati vožnja tiren vzpenjača nakup vstopnica zagotoviti znižati cena povraten vozovnica,2019-10-17 18:00:00,418,320420914735819.0,5,Other
Diagnoza: pridna,vabiti zanimiv predavanje saš krajnca diagnoza priden četrtek ura dvorana občina krški ckž vstop prost saš krajnca sociologinja pedagoginja oseben mentorica psihoterapevtek dušen aktivistek raziskovalka življenje hkrati pozitiven ženski verjeti človek bistvo dober namen deliti znanje izkušnja pomoč postati bolj bolj avtentičen pristen pretiran priden človek izgubiti ugajanje vprašati narediti strah misliti pravi saš krajnca vabiti saš krajnca,2019-10-03 18:00:00,231,2913658515374819.0,1,Wellness
Asocial /Swe + Jilted /It,asocial švedski raw anda brutati hca combing approach with solida dbeati structura speed anger anda vocals makes this totati scandicor for fans ant cimex cruda moba avskum anda asocial sinonim star klasičen švedski hca šola nastal konec izdati dejati kaset let razpadel odigrati koncert potem zapadel stanje mirovanje let vrnitev požeti euforija koncert švedski razprodan imeti priložnost videti živ lahek potrditi zapis obscena extrema festival asocial literally smashed april studio posneti nov skladba ponoven posneti skladba låti dom inta lura diga mattias kennhed medtem prica silenec itd album död åti izšel foad records iti september pionir švedski hard cor prvič igrati slovenija čakati videti domač oder jilted italija korenina jilted segati konec let anarha treti punka hca crust koktejl wretched impacti tipičen japonski kaotičen hca melos povezovati besedilo bend riniti ospredje drža zavidljiv tvoriti košček znotraj crust punka scena,2019-09-20 21:00:00,172,150439291789321.0,2,Music
L I V E | NOV ALBUM #NekajJeNaTebi,vabiti akustičen večer druženje izid nov plošča nekajjenati torek oktober ura ljubljana sputnik nina akustičen zasedba živ predstaviti star nov uspešnica uraden del sled druženje prigrizek pijača dobrodošlica poskrbljen priti anabel musica vabiti dogodek omogočiti vino mlakar party shop kolosejati pep jeans ljubljana pancha glasben produkcija treeceleti,2019-10-01 20:00:00,104,103727819702351.0,2,Music
Metelkova Skate Session,sam najbti jak sešn met furati čelnđ gapa šteng jalle jalle raiti trava parkirišče chanell zero tifany stolp dolg raiti vedeti mislm banka banka piramida parkirišče začeti gep pol podalševati kokr iti besti tricka vsakm čelnđ mati zamert pivo dost zravn dati kšen diti majca fucka yea dodaten doza energija furanje poskrbeti dje buca rolati tony hawk pra skater klasik thrash komad rhcp englis radicati session metelkov squati ljubljana,2019-09-07 15:00:00,316,443566369067600.0,3,Sports
Lars&Sven®- Murska Sobota,nov čil frika burger sezona odpreti murski sobota ročen zategniti poznan lokacija trgovski center maximus ponudba novost kmetija vizjak čil frika razviti izvrsten rahel pekoč burger poimenovati čil frika burger osnova burger pašen govedina slovenski poreklo popečen krompirjev bombetek pekarna janez del pravi italijanski mozzarell poseben čil frika omaka pripraviti priložnost kdaj četrtek ura kje trgovski center maximus ulica štefan kovač murski sobota lokacija nov letošnji sezona lahek foodtrucek naročiti plačati lars dobrota enostaven pregleden onlina aplikacija potrditev plačilo minuta dobiti infa kdaj naročilo pripravljen prevzem izogniti čakanje prihraniti dragocen čas enostaven hiter pregleden download aplikacija nahajati izbrati lokacija foodtruckljubljana delovati android ios sistem murski sobota murski sobota mesto murski sobota prekmurje visiti murski sobota drsališče murski sobota ava panviti avtohiša meški arum fitness center murski sobotaraziskovalen izobraževalen središče dvorec rakičan dišati prekmur glasben šola murski sobota gimnazija murski sobota gledališče park murski sobota europiti directi pomurje dian murski sobota proteibiti shop btca murski sobota zavod kultura turizem šport murski sobota juda klub murski sobota joba corner slovenija teniški klub murski sobota tratnjek klima center klub prekmurski študentov motooprema visiti murski sobota nogometen šola mura pomurje region rokoborba murski sobota ljudski univerza murski sobota expan center varen vožnja murski sobota kmetijskogozdarski zavod murski sobota mladinski servis pomurski študentski servis,2020-03-12 11:00:00,534,266885500069806.0,"16,18,163,195,221","Kid Friendly,Food,Food festival,Beer tasting,Hapkido"
NOVO LETO 2020-ROBERT BIJELIĆ @TROJA TOREK 31.DEC 2019,vstop robert bijelić ekipa pripraviti nor ponudba preživljanje dolg noč let najbolšiti party rezervirati sedaj prost vstop super vip boati prost vstop infa vip rezervacija rezervacija trojashishas,2019-12-31 22:00:00,306,1751214148438481.0,15,Party
Karel Gržan: 95 tez za izhod iz slepe ulice izobraževanja,leto zatem pribiti teza vrata svetišče kapitalizem osvoboditev zajedavski hrematizem pater karel gržati prihajati nov razmislek duhovnik magister teologija doktor znanost področje literaren veda vedno znova iskati predavatelj medčloveški odnos odpuščanje let nastajati nov bel knjiga vzgoja izobraževanje podpisovati peticija šola mera otrok poglabljati področje tikati sam srčik prihodnost napisati teza izhod slep ulica vzgoja izobraževanje predstavitev nov knjiga gržati četrtek oktober ura hiša sanjajoč knjiga trubarjev pogovor sodelovati karel gržati gabiti čačinovič vogrinčič manec košir moderatorek pogovor tjasa koprivec vug vabiti prihodnost iti,2019-10-24 18:00:00,285,134405562872.0,"16,32","Kid Friendly,Causes"
Koncert v spomin na Oliverja Dragojevića v Mariboru,lep oliverjev pesem maribor koncerten turneja spomin oliver dragojević zaživeti veličina iti velik poklon izvajalec ljubiti dotakniti srce način hvala oliver dati oliverjev pesem živeti večen poskrbeti glasben prijatelj sklop koncerten turneja spomin oliver dragojević koncert potekati dvorana svet kjer nastopati oliver glasbenik ustaviti slovenija koncerten turneja začenjati maribor dvorana tabor potekati hrvaški avstralija makedonija nemčija lanski leto koncerten turneja hip razprodan kazati letos ponavljati zgodba dvorana verjetnost hitreje razprodan iti sklepati odziv sosed koncert razprodan mesec vnaprej vstopnica greda slovenija prodaja jutro petek tokrat možen kupiti poseben meet anda greet vip vstopnica prinesti dober pozicija sedišče dvorana vrsta večerja glasben izvajalec vstpnica lahek zagotoviti sistem event petrolov prodajen mesto tradicionalen turneja spomin oliver dragojević obiskati več slovenski kraj lep oliverjev dalmatinski pesem prepevati blizek prijatelj danijeti martinović doris dragović luk basa davora radolfa goran karan ted spalat zorica kondž petar dragojević klap bonac edin skupina let spremljati oliver koncert skupina dupina družina oliver dragojević lahek oboževalec posloviti večen melodija način oliver namen lanski leto organiziran turneja dokazati imeti oliver oboževalec svet pesem živeti naprej turneja dobiti izjemen razsežnost pokazatelj več oliver velik najbolj priljubljen ime glasba melodija vedno živeti kontinent število vstopnica turneja letos omejen zato pohiteti nakup zagotoviti dober sedež dvorana,2019-11-30 19:00:00,528,204966850407469.0,2,Music
